96,110,253
102,115,253
100,107,254
105,121,255
110,117,255
113,122,255
107,118,255
118,121,255
126,127,255
124,126,255
136,133,255
112,121,254
107,114,253
112,118,255
107,117,254
108,112,254
130,129,255
125,134,255
124,130,255
116,120,255
118,123,255
116,119,254
114,121,254
144,150,255
111,122,255
112,121,255
112,121,254
105,121,255
110,115,254
98,109,253
105,120,253
100,117,255
102,108,251
102,106,254
101,117,253
98,115,255
122,128,255
164,159,255
132,129,255
134,131,254
115,119,254
206,188,255
127,130,255
108,120,252
110,123,253
116,124,255
160,156,255
109,125,255
128,127,255
126,131,253
114,121,254
138,142,254
108,120,254
109,119,255
110,122,255
108,120,254
132,137,252
154,144,250
108,120,252
107,123,253
95,96,248
92,101,242
82,87,232
77,80,232
93,93,253
88,89,247
81,90,247
87,86,250
88,87,251
77,77,237
77,76,239
80,80,246
95,95,249
81,83,245
72,67,236
75,75,243
86,91,246
82,85,247
69,71,233
68,71,239
77,83,236
77,85,239
58,60,222
65,70,233
88,84,243
94,97,236
92,93,235
79,77,237
95,101,255
98,94,255
89,93,248
76,76,246
113,122,255
124,132,255
113,126,255
121,123,255
92,99,255
80,77,246
85,89,248
66,74,245
94,95,253
83,84,248
76,79,248
73,82,249
86,91,248
75,84,248
56,64,231
61,65,244
103,108,247
86,94,248
70,79,237
108,108,246
65,65,211
93,102,243
98,87,233
75,75,221
63,65,213
68,62,217
75,79,227
87,87,231
71,67,222
60,65,217
71,69,223
69,74,219
68,69,219
60,59,222
58,63,218
85,82,235
76,79,224
61,63,218
59,62,221
107,98,248
131,127,255
142,131,255
153,143,255
113,114,255
106,117,255
107,113,255
107,117,255
107,118,252
103,112,255
112,113,255
118,121,255
111,115,255
119,119,255
114,117,255
106,114,255
147,139,255
103,116,255
101,113,255
114,121,254
104,114,255
123,125,255
113,120,253
101,111,253
115,118,255
99,111,253
96,104,255
99,110,254
105,115,255
117,126,254
112,121,254
116,120,255
131,129,249
113,124,252
113,116,251
112,120,255
127,132,255
100,111,255
106,115,255
108,118,255
110,120,255
104,114,255
108,115,254
109,121,255
119,120,254
97,114,255
101,117,254
106,114,251
100,112,254
101,111,253
100,115,255
100,114,255
108,118,255
104,114,255
104,113,254
106,116,255
175,168,249
84,102,255
79,90,252
86,95,253
86,105,255
101,114,252
91,114,254
90,118,255
108,115,254
79,103,255
85,106,255
82,97,253
80,103,255
76,97,255
72,92,255
79,100,255
65,91,251
124,120,255
131,134,255
144,140,245
113,116,254
121,122,255
115,119,254
118,122,254
118,121,255
116,119,255
113,125,255
117,121,253
114,117,255
113,122,255
116,123,255
116,123,255
114,120,255
108,122,255
125,140,255
95,100,247
129,146,255
141,150,255
157,162,255
138,147,255
190,192,255
159,164,255
159,164,255
173,171,255
150,159,255
149,162,255
168,175,255
164,163,255
149,156,255
151,151,255
146,154,255
157,159,255
147,153,255
136,144,255
140,151,255
145,153,255
151,158,255
143,156,255
146,163,255
146,155,255
159,166,255
132,137,255
114,125,255
129,145,255
121,140,255
162,170,255
141,153,255
149,166,255
151,173,255
248,251,249
0,255,0
252,248,246
241,242,243
144,143,255
138,133,247
166,160,255
78,83,219
111,126,255
123,131,255
172,169,255
124,142,255
143,159,255
135,142,255
151,163,255
152,158,255
124,137,255
116,128,255
113,129,255
122,138,255
152,159,255
201,189,255
138,149,255
131,149,255
131,138,255
125,134,255
101,106,251
93,99,252
111,114,255
107,112,255
92,102,255
113,116,255
220,197,174
205,190,166
211,194,167
211,188,167
128,133,255
110,117,255
90,90,255
92,95,255
105,113,255
100,106,255
71,75,238
78,84,255
91,102,255
96,105,255
83,89,253
68,72,235
119,122,255
128,139,255
106,108,253
80,73,234
119,128,255
114,114,255
109,115,255
80,82,252
151,161,255
153,155,255
146,158,255
146,154,255
123,133,255
90,90,255
94,99,255
89,101,255
111,115,255
90,93,255
79,82,254
83,94,255
97,107,255
88,98,255
42,44,211
71,83,255
128,130,255
121,138,255
64,72,232
130,130,255
122,122,255
123,132,255
56,58,207
100,105,255
128,129,255
97,90,255
102,111,255
105,103,254
138,139,255
81,87,242
116,127,255
81,88,237
99,104,255
77,80,243
65,70,226
104,103,255
100,109,255
97,101,255
110,111,255
68,73,224
149,154,255
137,142,255
149,154,255
138,139,255
150,158,255
141,153,255
127,139,255
164,175,255
126,142,255
94,91,230
128,132,255
119,127,255
134,136,255
115,120,255
128,140,255
158,152,255
152,158,255
136,153,255
148,165,255
146,159,255
149,154,255
120,133,255
118,128,255
134,138,255
120,131,255
111,121,255
109,123,255
118,130,255
138,143,255
140,145,255
145,151,255
141,155,255
140,152,255
149,154,255
149,161,255
141,152,255
127,134,255
144,157,255
145,160,255
138,149,255
146,154,255
146,162,255
152,159,255
162,155,255
140,160,255
108,124,255
129,139,255
132,144,255
147,160,255
144,154,255
142,160,255
149,166,255
140,148,255
145,156,255
140,152,255
150,159,255
130,160,255
129,158,255
128,149,255
117,137,255
139,161,255
128,151,255
144,168,255
148,160,255
127,157,255
130,160,255
125,148,255
121,152,255
78,106,255
95,125,255
111,132,255
89,108,255
154,161,255
168,170,255
216,216,255
140,145,255
159,165,255
157,166,255
159,164,255
163,166,255
154,163,255
159,171,255
159,166,255
151,157,255
135,146,255
151,160,255
146,158,255
139,147,255
108,122,255
125,140,255
95,100,247
129,146,255
141,150,255
157,162,255
138,147,255
190,192,255
159,164,255
159,164,255
173,171,255
150,159,255
149,162,255
168,175,255
164,163,255
149,156,255
151,151,255
146,154,255
157,159,255
147,153,255
136,144,255
140,151,255
145,153,255
151,158,255
143,156,255
146,163,255
146,155,255
159,166,255
132,139,255
115,129,255
125,144,255
121,140,255
162,170,255
141,153,255
149,166,255
151,173,255
248,251,249
0,255,0
252,248,246
241,242,243
144,143,255
138,133,247
166,160,255
78,83,219
111,126,255
123,131,255
172,169,255
124,142,255
143,159,255
135,142,255
151,163,255
152,158,255
124,137,255
116,128,255
113,129,255
122,138,255
152,159,255
201,189,255
138,149,255
131,149,255
131,138,255
125,134,255
101,106,251
93,99,252
111,114,255
107,112,255
92,102,255
113,116,255
220,197,174
205,190,166
211,194,167
211,188,167
128,133,255
110,117,255
